gene	chr	pos	neg_log10_pvalue
Gene_4214	chr2	136887840	0.146729
Gene_2874	chr2	20098670	1.011883
Gene_3357	chr14	24281811	1.061166
Gene_7963	chr7	61756428	3.033149
Gene_4891	chr7	37640005	0.028739
Gene_1033	chr10	123707879	0.559366
Gene_7011	chr8	13465882	0.270322
Gene_2384	chr7	93050181	0.165898
Gene_7471	chr2	56863844	0.813858
Gene_4549	chrX	37355600	0.248236
Gene_4218	chr18	53072959	0.421734
Gene_4334	chr17	34418429	0.853633
Gene_4272	chr3	68630741	0.047586
Gene_0925	chr2	12724781	0.335763
Gene_4118	chr9	20615095	0.531989
Gene_2143	chr22	42270567	0.103164
Gene_6962	chr4	60269100	0.009508
Gene_0891	chr5	64919039	0.744874
Gene_1927	chr9	100535231	0.054538
Gene_4144	chr15	49570575	0.015193
Gene_1866	chr9	125983646	0.078262
Gene_2999	chr14	24601349	0.391803
Gene_7367	chr3	62897391	0.245222
Gene_7191	chr5	41633052	0.474468
Gene_0387	chr1	94579378	0.282807
Gene_7484	chr16	64929625	0.836013
Gene_1553	chr7	36028860	0.550654
Gene_4622	chr3	131932795	0.023036
Gene_2306	chr15	95843607	0.099944
Gene_7518	chrY	38611399	0.856529
Gene_6583	chr1	354101	0.049260
Gene_5566	chr7	77065454	0.215915
Gene_2340	chr2	10934808	0.475122
Gene_3266	chr2	148306574	0.225211
Gene_6952	chr13	14344433	0.244156
Gene_7622	chr2	82605858	3.005792
Gene_2166	chr13	39148246	0.443474
Gene_1633	chr4	141034793	0.174659
Gene_7487	chrY	53810160	0.153488
Gene_3132	chrX	111406017	0.208681
Gene_4095	chr11	17939325	0.990955
Gene_1978	chr17	9200953	0.275466
Gene_0202	chr15	66017348	0.094499
Gene_0596	chr9	18241511	0.074488
Gene_5420	chr1	190235798	1.048646
Gene_4657	chr4	7405107	0.197376
Gene_0305	chr15	14726966	0.400074
Gene_7209	chr3	195423131	0.766131
Gene_3178	chr18	59899693	0.736665
Gene_6902	chrX	76227461	0.026166
Gene_1328	chr16	53400338	0.726643
Gene_1239	chr7	93596750	0.497962
Gene_2141	chr10	128599091	0.829788
Gene_7278	chr8	59872411	0.019237
Gene_2987	chr5	34818556	0.107565
Gene_7658	chr9	59791064	3.401019
Gene_4195	chr8	102951718	0.110143
Gene_2869	chr4	64903428	0.579102
Gene_5096	chr2	110162333	0.130492
Gene_1911	chr3	15049503	0.457085
Gene_0222	chr7	133776646	1.178067
Gene_6956	chr8	93979600	0.264864
Gene_3267	chr14	70354363	0.016653
Gene_7091	chr5	160119919	0.551441
Gene_0295	chr11	54667621	0.709534
Gene_0597	chr7	11493606	0.093882
Gene_4940	chr1	163571557	0.326141
Gene_3924	chr15	25434345	0.566789
Gene_2190	chr3	38878112	0.126561
Gene_1317	chr5	1613956	0.267866
Gene_6409	chr10	16468620	0.157416
Gene_4835	chr8	81723571	0.417266
Gene_3161	chr4	39678710	0.680133
Gene_3548	chr11	52908695	0.457888
Gene_3596	chr10	10855717	0.278964
Gene_2168	chr7	136432663	0.644908
Gene_3987	chr6	104198351	0.286870
Gene_2176	chr2	191548524	0.185299
Gene_3006	chr8	3987423	0.268943
Gene_2181	chrY	41602334	0.192702
Gene_2827	chr8	143054768	0.079184
Gene_4120	chr1	39143025	0.275809
Gene_3389	chr3	18790708	0.049613
Gene_1388	chr16	20926502	0.210532
Gene_4976	chr3	75578043	0.068066
Gene_5754	chr8	140823869	0.501322
Gene_2785	chr9	46646617	0.179326
Gene_3093	chr1	222951802	0.124536
Gene_7592	chr6	72558836	0.627203
Gene_4461	chr10	15517415	0.013365
Gene_6156	chr10	75559157	0.048071
Gene_3328	chr10	77018243	0.615160
Gene_4536	chr3	29343835	0.214782
Gene_0706	chr2	39012509	0.055429
Gene_6739	chr7	65752494	0.302048
Gene_4201	chr5	157066168	0.644537
Gene_6936	chr7	73416114	0.469208
Gene_5648	chr6	120138394	0.186692
Gene_5071	chr8	97220720	0.597365
Gene_6656	chr16	47366369	0.278460
Gene_5492	chr20	16994739	0.920301
Gene_6494	chr10	59196812	0.400660
Gene_4860	chr15	56852587	0.434705
Gene_7728	chr2	48693588	3.555644
Gene_7588	chr14	4064834	0.064615
Gene_0811	chr15	40506208	0.003050
Gene_2716	chr15	79641574	0.292207
Gene_1278	chr15	73317488	0.450945
Gene_2639	chr22	22280411	0.087292
Gene_6655	chr19	49417991	0.212147
Gene_1293	chr18	55426382	0.230735
Gene_4722	chr4	146793393	0.493417
Gene_5287	chr14	54733699	0.004256
Gene_1124	chr16	58524949	0.821946
Gene_5400	chr1	246659981	0.112916
Gene_4804	chr6	82625839	0.029457
Gene_2517	chrX	11145842	0.200148
Gene_5504	chr14	33782985	0.795928
Gene_4018	chr9	6717999	0.287918
Gene_0906	chrX	94376483	0.029092
Gene_2012	chr15	68985078	0.023936
Gene_3964	chr7	134687325	0.380923
Gene_7205	chr8	57868984	0.230739
Gene_1156	chr16	4841713	0.165936
Gene_5839	chr4	1286480	0.169069
Gene_7561	chrX	111796067	0.119059
Gene_7394	chr10	107286575	0.639916
Gene_4575	chr5	157714105	0.872840
Gene_6187	chr12	76086316	0.022849
Gene_3128	chr8	105919326	0.144943
Gene_2087	chr18	8831594	0.711810
Gene_7462	chr8	99885510	0.343072
Gene_2506	chr3	182179455	0.822352
Gene_5351	chr5	119588704	0.254879
Gene_1150	chr5	128546280	0.541251
Gene_6001	chr13	58829703	0.395970
Gene_5300	chr3	42412133	0.242620
Gene_0966	chr13	30576970	0.147218
Gene_4446	chrX	21181638	0.162959
Gene_7717	chr12	127456956	3.131298
Gene_5955	chr12	33478302	0.469641
Gene_5558	chr2	91239275	0.075591
Gene_3696	chr10	26355281	0.532296
Gene_3490	chr12	106554690	0.360917
Gene_3760	chr9	77020345	0.120547
Gene_5437	chr7	33354215	0.387189
Gene_7628	chr1	104164208	3.005761
Gene_0877	chr2	198677990	1.099965
Gene_0260	chr6	103240994	0.187464
Gene_2934	chr7	144753246	0.633231
Gene_7660	chr9	84695613	4.387175
Gene_7693	chr21	33809550	3.966709
Gene_6815	chr5	159539671	0.141730
Gene_0355	chr6	94801042	0.471493
Gene_1337	chr19	47366574	0.116715
Gene_7078	chr16	17677716	0.558081
Gene_1901	chr19	18243695	0.146579
Gene_2847	chr1	108479881	0.221569
Gene_5426	chr3	135440194	0.336166
Gene_3868	chr2	233532746	0.437373
Gene_3709	chr2	92274007	0.364805
Gene_1794	chr3	29978786	0.399865
Gene_2826	chr8	26559265	0.030589
Gene_7426	chr3	141337131	0.342384
Gene_4233	chr3	172510868	0.011735
Gene_2927	chr14	35221782	1.156860
Gene_4877	chr8	58659965	0.275970
Gene_3411	chr6	39975605	0.516237
Gene_7581	chr9	128026168	0.640249
Gene_3662	chr16	63146459	0.022264
Gene_5627	chr2	205514228	0.050147
Gene_5939	chr9	97569889	0.085199
Gene_3974	chr18	12960957	1.120979
Gene_3281	chr1	172128393	0.494938
Gene_0408	chr15	92534072	0.383410
Gene_1766	chr17	49466070	0.874119
Gene_4721	chr16	6091210	0.199161
Gene_5777	chr5	56455990	0.827677
Gene_7835	chr17	72478275	3.038622
Gene_7773	chr4	17958999	3.262206
Gene_0675	chr13	89293905	1.143311
Gene_4574	chr9	60752129	0.917333
Gene_0808	chr1	243947211	0.137909
Gene_6806	chr5	155354454	0.561725
Gene_5686	chr22	4879178	0.095816
Gene_5725	chr15	8755149	1.225824
Gene_1936	chr6	169012666	0.004311
Gene_6789	chr3	141190034	0.020653
Gene_0243	chr1	81735270	0.538474
Gene_2871	chr1	129568518	0.743524
Gene_6129	chr2	115407165	0.179858
Gene_1753	chr11	118715934	0.322614
Gene_0351	chr2	196308710	0.053420
Gene_1584	chr1	13977230	0.030963
Gene_3437	chr2	62778400	0.273561
Gene_3414	chr22	50244351	0.535799
Gene_7665	chr6	36111774	6.984670
Gene_6610	chr6	86169711	0.183901
Gene_5214	chr10	17552345	0.147413
Gene_5649	chr8	636025	0.013007
Gene_3522	chr17	72642913	0.461611
Gene_7118	chr3	13812661	0.078282
Gene_1787	chr4	93732727	0.113438
Gene_4185	chr22	50478864	0.063597
Gene_5006	chr2	80487893	0.047635
Gene_4614	chr4	67666580	0.354976
Gene_4797	chr11	65774031	0.036391
Gene_5584	chr9	7408041	0.023592
Gene_6729	chr12	33953537	0.503012
Gene_6513	chrY	49634744	0.153258
Gene_7221	chr9	22700672	0.930371
Gene_3850	chr8	13052047	0.048627
Gene_2687	chr3	7148704	0.230764
Gene_5337	chr7	51630547	0.069663
Gene_5932	chr2	207027055	0.129497
Gene_2913	chr14	105224592	0.333341
Gene_3325	chr18	66237876	0.120290
Gene_6616	chr12	22339212	1.178018
Gene_0964	chr5	139561655	0.193606
Gene_1477	chr7	99243200	0.264689
Gene_3919	chr1	183918454	0.263601
Gene_5845	chr1	136331414	0.163163
Gene_7158	chr5	55532601	0.804413
Gene_4122	chr18	53422849	0.190004
Gene_6578	chr12	25784990	0.325173
Gene_3672	chr7	108310510	0.132545
Gene_0799	chr4	178685231	0.548487
Gene_0631	chr14	57309965	0.215213
Gene_6837	chr11	100199793	0.752859
Gene_3084	chr8	24899556	0.012214
Gene_3424	chr13	57157742	0.937279
Gene_2103	chr1	89727513	1.258969
Gene_1505	chr12	121225920	0.278889
Gene_3820	chrX	106407106	0.069950
Gene_1095	chr20	27776773	0.660094
Gene_3388	chr14	75383969	0.049221
Gene_0288	chr6	144332813	1.254088
Gene_0444	chrX	122690818	0.037139
Gene_2273	chr1	138863128	1.289686
Gene_3183	chr13	89398942	0.388781
Gene_5003	chr8	79508677	0.234878
Gene_1581	chr3	182642316	0.034803
Gene_6097	chr5	113885904	0.336643
Gene_2192	chr10	34553962	0.437363
Gene_2875	chrY	49102947	0.079015
Gene_4003	chr5	179426881	0.075962
Gene_7348	chr7	61789791	0.017978
Gene_0892	chr5	16805886	0.129882
Gene_5835	chr1	246877867	0.547622
Gene_3871	chr5	27443476	0.168419
Gene_7416	chr1	241450752	0.592957
Gene_3009	chr1	24800966	0.108124
Gene_6069	chr2	185102143	0.125284
Gene_5385	chr10	87852497	0.002465
Gene_6898	chrX	60127111	0.129649
Gene_5358	chr5	31786607	0.466314
Gene_1728	chr5	54057997	0.274358
Gene_6846	chr12	126145377	0.040029
Gene_0032	chr11	22775344	0.007652
Gene_1181	chr16	34718275	0.008203
Gene_2957	chr19	47577925	1.103393
Gene_3708	chr8	39087631	0.174139
Gene_0255	chr8	86812840	0.326308
Gene_6613	chr15	76011980	0.094462
Gene_2119	chr10	88224160	0.406464
Gene_0034	chr17	12076584	0.582704
Gene_2725	chr3	72826074	1.199003
Gene_0528	chr1	117298554	1.120818
Gene_5805	chr21	6005080	0.237572
Gene_0076	chr2	73110692	0.235679
Gene_0824	chr3	37740754	0.157585
Gene_3198	chr11	69447647	0.064723
Gene_6735	chr6	111074035	0.208649
Gene_3650	chr7	118173955	0.359903
Gene_3270	chr5	157940381	0.554321
Gene_4985	chr19	435644	0.273959
Gene_1606	chr2	118227039	0.068624
Gene_6352	chr4	41711209	0.874938
Gene_2721	chr13	34332158	0.328936
Gene_2930	chr5	57870560	0.355716
Gene_6626	chr9	84730085	0.110866
Gene_7370	chr10	118857611	0.672139
Gene_2825	chr12	69745888	0.143224
Gene_3968	chr18	21801692	0.126419
Gene_5869	chr16	53887723	0.089252
Gene_2728	chr10	68839991	1.059040
Gene_3568	chr1	183500038	0.141018
Gene_7866	chr4	74140339	3.258244
Gene_4307	chr4	39944009	0.409268
Gene_3085	chr16	74688240	0.082470
Gene_4542	chr9	126664802	0.352206
Gene_1168	chr13	54095550	0.108349
Gene_5576	chr3	86342606	0.011825
Gene_3925	chr16	76859866	0.312685
Gene_7730	chr3	91868870	3.157643
Gene_7033	chr7	9925558	0.279863
Gene_2777	chr5	21356666	0.633068
Gene_6550	chr10	117842529	0.106867
Gene_3244	chr3	133157430	0.342751
Gene_0494	chr18	62786980	0.059341
Gene_4792	chr7	80715206	0.562949
Gene_4848	chr12	78480863	0.114194
Gene_7294	chrX	65913620	0.127354
Gene_3559	chr9	16535057	1.231428
Gene_0825	chr19	31932915	0.045436
Gene_0705	chr19	2956182	0.004596
Gene_2995	chr13	64434495	0.090805
Gene_1232	chr4	155051095	0.539473
Gene_7396	chr5	166534064	0.848372
Gene_3081	chr6	49523860	0.252973
Gene_3990	chr17	52475327	0.640053
Gene_0437	chr4	146646435	0.241309
Gene_5846	chr6	29882099	0.194440
Gene_7574	chr13	61900292	0.109219
Gene_7610	chr1	207463750	3.654400
Gene_3368	chrX	147787999	0.356901
Gene_5244	chr18	43039182	0.027052
Gene_7242	chr6	11585762	0.048011
Gene_1552	chr8	81055740	0.252310
Gene_4077	chr3	22799373	0.093775
Gene_3457	chrX	146585674	0.109225
Gene_7126	chr11	70208400	0.889311
Gene_1554	chr3	9961175	0.318901
Gene_5095	chr5	141224152	0.024339
Gene_0817	chr1	98085176	0.100179
Gene_3367	chr18	76011466	0.329687
Gene_1610	chr7	39207959	1.127558
Gene_5364	chr15	22602386	0.404686
Gene_7635	chr2	209096123	3.587037
Gene_4621	chrX	131279548	0.215740
Gene_7721	chr14	56668798	3.123453
Gene_6414	chr4	79234212	0.498602
Gene_3096	chr7	129535273	0.630084
Gene_0302	chr10	16385083	0.037453
Gene_2055	chr6	87061342	0.604908
Gene_2712	chr18	13801605	0.304998
Gene_5989	chr1	135733737	0.044609
Gene_4277	chr10	48723460	0.646354
Gene_2736	chr4	45507651	0.072364
Gene_6868	chr12	121923583	0.118872
Gene_3684	chr5	6780232	0.256572
Gene_2388	chr13	66137290	0.499030
Gene_4629	chr7	123458968	0.461332
Gene_6787	chr15	43979718	0.308940
Gene_2585	chr12	4833462	0.200202
Gene_2549	chr4	122790830	0.087607
Gene_7722	chr22	1863248	4.640819
Gene_4523	chr16	65688771	0.352575
Gene_0219	chr20	39445114	0.296763
Gene_4735	chr8	1172686	0.006139
Gene_5953	chr7	69063066	0.001387
Gene_7054	chr1	123828311	0.060492
Gene_7540	chr7	144207718	0.271479
Gene_3976	chrX	116136877	0.410752
Gene_0713	chr11	37282922	0.631902
Gene_0175	chr3	151195156	0.204468
Gene_7834	chr1	5284327	3.236891
Gene_4150	chr4	25252553	0.181758
Gene_4837	chr4	167821475	0.084455
Gene_7409	chr17	80494013	0.028328
Gene_6969	chr2	204905788	0.436439
Gene_4143	chr9	13509126	0.017857
Gene_3082	chr7	67047129	0.322981
Gene_0702	chr10	96563259	0.657799
Gene_7129	chr9	110423223	0.011967
Gene_6202	chr8	93141244	0.343375
Gene_6551	chr18	58063249	0.247852
Gene_3007	chr11	6112446	0.574352
Gene_3445	chr13	14626850	0.098738
Gene_6693	chr10	82410571	0.203324
Gene_0926	chr3	157518190	0.540610
Gene_0146	chr6	49294828	0.060938
Gene_1635	chr1	201627658	0.220107
Gene_2178	chrX	70594492	0.916761
Gene_3380	chr18	40244120	1.133520
Gene_7522	chr4	126735075	0.152458
Gene_4160	chr18	27014740	1.113061
Gene_1441	chrX	48746430	0.036754
Gene_2567	chrX	51357575	0.826142
Gene_6771	chr18	25807498	0.767168
Gene_6354	chr9	35017416	0.750916
Gene_5705	chr4	123650608	0.330820
Gene_6158	chr2	77359807	0.076986
Gene_4071	chr8	27051253	0.250178
Gene_2046	chr11	113330667	1.236155
Gene_0617	chr4	26877563	0.164144
Gene_0051	chr1	52520058	0.007683
Gene_0748	chr1	63287779	0.418803
Gene_4036	chrX	18389997	0.753364
Gene_6874	chrX	95582378	0.206514
Gene_0869	chr5	12257043	0.279015
Gene_6998	chr7	92485615	0.048250
Gene_6723	chr1	4859779	0.364722
Gene_3088	chr17	82421480	0.071070
Gene_0963	chr2	129087142	0.872920
Gene_7393	chr17	44867142	0.147267
Gene_0062	chr11	94319212	0.078160
Gene_6636	chr11	55746010	0.452669
Gene_5603	chr7	34850614	0.623832
Gene_3254	chr11	116797827	0.374845
Gene_6514	chr13	55864236	0.089362
Gene_6225	chr4	14140179	0.203136
Gene_6030	chr2	132541730	0.107185
Gene_2602	chr11	98907913	0.352918
Gene_1082	chr4	39623168	0.004553
Gene_5013	chr20	22722263	0.002421
Gene_2732	chrX	146694229	0.073178
Gene_6328	chr1	224488270	0.054656
Gene_6102	chrX	45396736	1.197824
Gene_7165	chr4	85488894	0.177860
Gene_6779	chr2	192957183	0.878708
Gene_1734	chr13	61249867	0.930768
Gene_5768	chr8	26675404	0.112143
Gene_2587	chr13	101956817	0.231924
Gene_3954	chr15	65458524	0.565544
Gene_7481	chr5	176432464	0.381515
Gene_5285	chr3	159605921	0.155798
Gene_7042	chr7	112818698	0.405722
Gene_6560	chr22	13661575	0.262389
Gene_2632	chr11	84164510	0.303745
Gene_2898	chrX	59213723	0.221554
Gene_6810	chr10	125665306	0.525499
Gene_3905	chr2	109696949	0.034112
Gene_3215	chr3	3889360	0.097015
Gene_1499	chrX	64126811	0.001393
Gene_7594	chr1	44099126	0.596065
Gene_7338	chr1	194034143	0.017556
Gene_1019	chr8	47915343	0.220796
Gene_4934	chr20	53728508	0.455100
Gene_1377	chr3	107349586	0.614529
Gene_3307	chr13	3989552	0.118819
Gene_1086	chr15	92805797	0.052505
Gene_0863	chr7	134826732	0.265727
Gene_6301	chr1	185038831	0.208818
Gene_4061	chr9	129791366	0.792701
Gene_1335	chr4	22930518	0.195061
Gene_3187	chr13	71561919	0.185995
Gene_6312	chr19	4421246	0.355040
Gene_7167	chr19	57395459	0.132504
Gene_3551	chr2	236485338	0.233110
Gene_7585	chr2	21880916	0.437781
Gene_0113	chr5	167712038	0.148248
Gene_2899	chr4	21976148	0.194381
Gene_1283	chrY	45596492	0.117205
Gene_0571	chr4	162831350	0.271623
Gene_0523	chr3	36998170	0.498735
Gene_5882	chr8	52835802	0.418442
Gene_2133	chr14	39708041	0.756750
Gene_2782	chr8	68084153	0.612867
Gene_0420	chr15	15165385	1.207935
Gene_6763	chr5	32905697	0.036713
Gene_1608	chr9	32689150	0.419541
Gene_1949	chr5	135610504	0.201961
Gene_3917	chr5	64035605	0.003322
Gene_3237	chr2	197819127	0.198707
Gene_7048	chr5	49992075	0.110466
Gene_1488	chr12	91060823	0.184255
Gene_6452	chr7	133985723	0.898533
Gene_4627	chr21	42053990	0.619446
Gene_1816	chrX	87320172	0.120081
Gene_2583	chr4	102913353	0.352432
Gene_3515	chr2	123733192	0.072716
Gene_1591	chr14	82382594	0.305418
Gene_6794	chr5	62141475	0.150966
Gene_4616	chr4	163006539	1.092821
Gene_0026	chr4	18657631	0.226329
Gene_7156	chrX	1218711	0.117769
Gene_5675	chr1	70234249	0.367386
Gene_2959	chr8	123274451	0.269818
Gene_5574	chr5	17208817	0.109483
Gene_4267	chr1	37745966	0.077795
Gene_4351	chr16	40600925	1.233137
Gene_2336	chr5	88988164	0.588371
Gene_2870	chr11	60183754	0.239708
Gene_4306	chr2	87427531	0.173598
Gene_2819	chrX	109886659	0.464898
Gene_3492	chr11	130133707	0.541074
Gene_7125	chr1	142307139	0.028275
Gene_1023	chr1	8241731	0.649818
Gene_7190	chr2	85015457	0.381592
Gene_2612	chr2	224237593	1.059698
Gene_3663	chr11	92006952	0.138992
Gene_0121	chr2	34357347	0.253194
Gene_1040	chr11	98262794	0.660038
Gene_2784	chrX	54856382	0.417873
Gene_0486	chr1	139083877	0.287433
Gene_2888	chr9	72432972	1.195356
Gene_1781	chr13	94196637	0.229368
Gene_4764	chr8	52762578	0.199788
Gene_4344	chr12	59620538	0.239968
Gene_0059	chr1	27883394	0.668467
Gene_7247	chr15	89021348	0.696591
Gene_1708	chr9	36074455	0.081222
Gene_6509	chr8	39250531	1.011603
Gene_5926	chr10	52243599	0.097705
Gene_3303	chrX	135107641	0.402185
Gene_6404	chr9	135577600	0.416402
Gene_7886	chr15	55011658	3.155546
Gene_1076	chr5	27862764	0.457805
Gene_0066	chr21	46380166	0.142823
Gene_4152	chr14	56248728	0.864782
Gene_4634	chr11	71776082	0.158000
Gene_1962	chr5	100864954	0.238201
Gene_5305	chrY	47752571	0.251856
Gene_3937	chrY	32703729	0.467840
Gene_1275	chr14	28808017	0.807591
Gene_3452	chr17	51389811	0.691618
Gene_1227	chr6	159899796	0.359300
Gene_3636	chr15	82879221	0.121353
Gene_7403	chr18	13288228	0.610448
Gene_2904	chr3	191043333	0.988549
Gene_7869	chr17	67915816	3.397795
Gene_2544	chr10	103703230	0.233670
Gene_7525	chr13	64340683	0.051932
Gene_1151	chr9	83479811	1.290922
Gene_1072	chr13	63370582	0.043606
Gene_7648	chr19	46966131	3.734145
Gene_0709	chr19	7971392	0.211506
Gene_5758	chr19	24172562	0.160973
Gene_2677	chr14	59852370	0.484418
Gene_7350	chr8	3905593	0.345990
Gene_7502	chr1	145672120	0.339304
Gene_1749	chr10	131675833	0.038541
Gene_6795	chr2	59423622	1.064677
Gene_6566	chr3	87699670	0.230868
Gene_7204	chr12	95565265	0.158726
Gene_4100	chr2	200230065	0.143068
Gene_2091	chr1	91641812	0.329102
Gene_6332	chr9	11833454	0.230584
Gene_1476	chr11	86488307	0.044740
Gene_4739	chr2	5807291	0.106926
Gene_1762	chr17	60502671	0.235399
Gene_5594	chr2	84671426	0.073196
Gene_4333	chr9	24810052	0.476297
Gene_4309	chr10	116698921	0.437233
Gene_6338	chr4	61019335	0.561090
Gene_1818	chr20	1523156	0.295487
Gene_6245	chr5	57113529	0.779893
Gene_1262	chr10	92904132	1.189935
Gene_1028	chr16	83737949	0.779818
Gene_2021	chrX	10864649	0.144927
Gene_0465	chr5	153650789	0.467183
Gene_7955	chrX	62829119	3.005146
Gene_5457	chr14	22875364	0.701244
Gene_6319	chr19	24645265	0.950250
Gene_4385	chr18	11101199	0.012586
Gene_2139	chr16	11978477	0.134633
Gene_7868	chr21	42891982	3.316698
Gene_7225	chr3	89115742	0.134530
Gene_4958	chr3	160000617	0.049307
Gene_3921	chr2	29318948	0.237497
Gene_7095	chr19	33212548	0.182992
Gene_3409	chr5	174028625	0.327201
Gene_6697	chrX	3851305	1.256989
Gene_0205	chr8	87733933	0.040347
Gene_0897	chr6	118642447	0.845977
Gene_1931	chr11	28476577	0.268590
Gene_6267	chr11	4777232	0.943807
Gene_6935	chr22	26639428	0.005708
Gene_7207	chr7	83425064	0.590997
Gene_7361	chr3	176962110	0.077616
Gene_1906	chr1	10932493	0.509274
Gene_0554	chr10	3006375	0.049947
Gene_5999	chr9	101766388	0.758566
Gene_5308	chrY	41785231	0.368232
Gene_0115	chr11	126589537	0.018764
Gene_3888	chr3	79757247	0.258319
Gene_2806	chr18	50906638	0.148885
Gene_6605	chr2	208262165	0.303785
Gene_5021	chr9	99224468	1.000506
Gene_4476	chrX	12324174	1.007560
Gene_0976	chr8	19171236	1.084395
Gene_6217	chr11	48410428	0.090174
Gene_0095	chr10	8375066	0.418616
Gene_5164	chr19	8766012	0.474708
Gene_3229	chr12	39612347	0.910307
Gene_3805	chr14	5704416	0.323260
Gene_0163	chr6	152374178	0.150014
Gene_3280	chrX	98641648	0.252530
Gene_5927	chr5	108880736	0.064964
Gene_5825	chr4	163868492	0.241697
Gene_6128	chr15	26883827	0.118135
Gene_2535	chr3	141889440	0.247109
Gene_7809	chr3	101029311	3.011136
Gene_0139	chr20	29441877	0.821877
Gene_4163	chr5	64191426	0.054075
Gene_6447	chr1	72119869	0.112415
Gene_0233	chr6	161842700	0.268823
Gene_1679	chr6	153761829	0.092009
Gene_1070	chr16	33027292	0.458332
Gene_7087	chr7	100756688	0.637480
Gene_2402	chr6	96406733	0.158180
Gene_7735	chr2	228877934	3.533030
Gene_5299	chr1	64802594	0.164969
Gene_0913	chr18	66432195	0.529141
Gene_0466	chr8	135813157	0.048469
Gene_1791	chr4	76787501	0.023611
Gene_3423	chrX	110207736	0.069368
Gene_4360	chr2	72892746	0.538042
Gene_5342	chr5	22725819	0.152300
Gene_1764	chr16	20103471	0.187286
Gene_0370	chr8	29993783	0.444709
Gene_6037	chr21	20239870	0.859481
Gene_4460	chr5	148219936	0.302135
Gene_7006	chr19	5341789	0.160294
Gene_2963	chr2	108693409	1.273085
Gene_0087	chr16	14707668	0.427383
Gene_7381	chr13	90077884	0.367491
Gene_7103	chr14	101406489	0.262016
Gene_1583	chr17	54220849	0.249224
Gene_6271	chr20	37626653	0.390479
Gene_0238	chr1	119833945	1.207297
Gene_7152	chr4	65241414	0.289822
Gene_4879	chr4	189761623	0.480203
Gene_6699	chr11	96141039	0.160379
Gene_5701	chr4	167734988	0.509523
Gene_4076	chr6	110869610	0.012905
Gene_0311	chr1	28830702	0.024057
Gene_2292	chr16	89529623	0.091933
Gene_7572	chrX	87155589	0.559398
Gene_6618	chr10	115329912	0.096907
Gene_6849	chr11	124522888	0.005942
Gene_0328	chr18	16141340	0.555377
Gene_7932	chrX	3304624	3.783974
Gene_3504	chr9	90073797	0.276330
Gene_5076	chr8	11297550	0.518667
Gene_6669	chr18	4634392	0.039895
Gene_2710	chr6	8139024	0.947981
Gene_4660	chr15	46818280	0.029068
Gene_0971	chr9	11459706	0.064179
Gene_2764	chr7	81399359	0.210591
Gene_6997	chr17	77211089	0.488378
Gene_0544	chr6	73416541	0.411289
Gene_7971	chr13	20431954	3.102434
Gene_2290	chrX	80655620	0.866595
Gene_0809	chr7	91176049	0.423240
Gene_3787	chr10	118668904	0.658901
Gene_0272	chr1	90474928	0.548606
Gene_7579	chr3	180246721	0.379580
Gene_4321	chr15	37154129	0.017666
Gene_1664	chr4	49305278	0.459838
Gene_6273	chr20	7334702	0.204173
Gene_0154	chr7	5065720	0.516463
Gene_4132	chr1	215366234	0.177418
Gene_7287	chr14	97345993	0.113148
Gene_4346	chr21	39116777	0.032440
Gene_3655	chr5	13452646	0.218722
Gene_2483	chr17	54810792	0.129770
Gene_0199	chr6	147843943	0.122153
Gene_4050	chr4	147300602	0.641983
Gene_2215	chr5	66773826	0.310699
Gene_1045	chr15	46195679	0.352398
Gene_0731	chr7	111961954	0.271498
Gene_6673	chr1	196569444	0.073063
Gene_1058	chr5	132946017	0.915551
Gene_4479	chr5	148034968	0.052802
Gene_0162	chr10	85941489	1.276893
Gene_3771	chr5	98220667	0.226297
Gene_5215	chrX	41170003	0.449366
Gene_3321	chr12	130278195	0.029704
Gene_6644	chr11	76297302	0.813084
Gene_1039	chr12	73143808	0.308666
Gene_3100	chr2	59138415	0.078442
Gene_5137	chr5	33056679	0.277957
Gene_6774	chr9	128848984	0.294631
Gene_2455	chr1	71845205	0.938202
Gene_1819	chr10	106684440	0.749122
Gene_1669	chr1	24098029	0.793320
Gene_0696	chr1	82743755	0.531992
Gene_2557	chr2	69581250	0.080283
Gene_5778	chr7	108794361	0.111146
Gene_1285	chr6	12461290	0.194918
Gene_7917	chr3	129599676	3.560131
Gene_1519	chr1	65648638	0.109273
Gene_7494	chr9	135975914	0.272344
Gene_6488	chr15	50854696	0.153592
Gene_0903	chr5	645453	0.306958
Gene_0147	chr5	150326498	0.154365
Gene_2179	chr20	15010992	0.245862
Gene_7435	chrX	112583854	0.403692
Gene_3356	chr1	217720038	0.028887
Gene_0745	chr4	48807351	0.512366
Gene_0150	chr10	107211513	0.049791
Gene_6930	chr2	162601856	0.368903
Gene_0934	chr3	168138235	0.344639
Gene_4434	chr11	63513710	0.127594
Gene_7392	chr5	62505046	0.633801
Gene_5836	chr2	173949138	0.213363
Gene_3790	chr7	51379346	0.521724
Gene_3534	chr3	192713437	0.077648
Gene_6260	chr21	10722402	0.172306
Gene_7124	chr8	66706569	0.256104
Gene_6712	chr14	53175398	1.055870
Gene_5862	chr2	90540748	0.132855
Gene_5374	chr6	74883068	0.011763
Gene_7606	chr14	40695379	3.182403
Gene_7334	chr6	164146930	0.666752
Gene_5052	chr13	44029549	0.380253
Gene_0887	chr20	48320331	0.577908
